source,target
,Net tax revenue
,"Net trade in goods (BoP, current US$)"
,"Net transfers on external debt, total (NTR, current US$)"
,Non tax revenue
,"Non tax revenues as a percentage
of GDP"
partnerships for the goals,Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
climate action,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions"
,Number of livestock  imports
,Number of Mineral dealers license holders
responsible consumption and production,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"
zero hunger,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities
partnerships for the goals,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation"
,Number of visits or required meetings with tax officials
,"Number of
Livestock exports"
,Other taxes (% of revenue)
quality education,"Participation rate in organized learning (one year before the official primary entry age), by sex"
,"Partner Import
Share"
,Percentage  of NGOs that have gone through QUAM
,"PPG, bilateral (DOD, current US$)"
,"PPG, other private creditors (DOD, current US$)"
,"Primary income payments (BoP, current US$)"
,Principal rescheduled (current US$)
life below water,Progress by countries in the degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries
life below water,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
sustainable cities and communities,"Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials"
life on land,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
decent work and economic growth,"Proportion of informal employment in non?agriculture employment, by sex"
,Proportion of innovation active enterprises
clean water and sanitation,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
zero hunger,"Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction"
no poverty,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
sustainable cities and communities,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
climate action,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
gender equality,Proportion of seats held by women in (a) national parliaments and (b) local governments
,Public and publicly guaranteed debt service (% of GNI)
,Quantity of Minerals imported/ Exported
,"Ratio of Debt service to
exports of goods and services"
,Real effective exchange rate index (2010 = 100)
